gender,age,education,geographic_location,income,married,n_kids,has_pets,former_customer_service,previous_spend,new_customer,satisfied_customer_service,next_spend
female,59.38954116114438,2,Northeast,"$60,000+",yes,0,1,no,0,yes,0,252.7408065706727
female,36.74822975425577,4,Northeast,"$60,000+",yes,2,1,yes,0,yes,1,221.84968065940868
male,6.192546684102275,1,Northeast,"$60,000+",no,0,1,no,329.8408875587111,no,1,623.7021423616163
female,50.07709343360589,3,Northeast,"< $60,000",no,0,1,no,113.64719422039113,no,1,229.50255479631335
male,67.25885658122266,0,Northeast,"$60,000+",yes,0,1,no,276.79899732782326,no,0,474.41780367484165
male,69.60446718171245,3,Northeast,"$60,000+",no,0,1,no,668.7311675708846,no,1,946.554382890627
female,44.165504577915286,0,Northeast,"$60,000+",yes,3,1,no,0,yes,0,171.41984206847968
male,48.77973048333732,1,Northeast,"$60,000+",yes,1,1,yes,277.0422859746917,no,1,599.9433304685276
female,80.23736802368954,2,Northeast,"$60,000+",yes,0,1,no,599.8378764257545,no,1,781.0190121788374
male,37.12781870154151,2,Northeast,"$60,000+",yes,0,1,no,9.268160470697865,no,1,244.69939316862823
male,47.380990411288685,1,Northeast,"$60,000+",yes,1,1,yes,616.4596119369148,no,1,858.6554575159611
male,59.70422906817606,2,Northeast,"$60,000+",no,0,1,no,0,yes,0,184.85870239666662
male,37.096351309059784,2,Northeast,"$60,000+",yes,0,1,no,0,yes,1,183.03722965638616
male,40.72087560719249,2,Northeast,"$60,000+",no,0,1,no,632.4857037777655,no,1,902.5977622721174
female,61.344993939453126,3,Northeast,"$60,000+",yes,1,1,yes,0,yes,0,173.0417120251247
female,35.531843324809984,1,Northeast,"< $60,000",no,0,1,no,324.42534323453947,no,1,517.8009026837356
female,59.11769107417447,1,Northeast,"$60,000+",yes,1,1,no,731.7644713182962,no,1,944.1628883618272
female,26.041307472321726,2,Northeast,"< $60,000",yes,1,1,yes,0,yes,1,100
male,9.636388998506632,2,Northeast,"$60,000+",yes,0,1,no,321.9402254559492,no,1,555.8368020539145
male,62.39446809939039,1,Northeast,"< $60,000",yes,1,1,no,0,yes,1,162.8716774852971
female,47.34285067798129,1,Northeast,"$60,000+",yes,0,1,no,0,yes,1,177.46203598589597
female,41.3007852087131,2,Northeast,"< $60,000",no,0,1,no,0,yes,1,123.1070757060094
female,39.56491642516949,2,Northeast,"< $60,000",yes,1,1,no,0,yes,1,100
male,69.84576851242412,2,Northeast,"$60,000+",yes,1,1,no,20.65748219506135,no,0,268.4909603229467
male,28.291551842976833,1,Northeast,"$60,000+",no,0,1,no,0,yes,0,216.46890332198933
female,69.19664833716553,2,Northeast,"$60,000+",yes,1,1,no,521.5730226557348,no,1,785.3383246250588
female,29.21978918248643,1,Northeast,"< $60,000",yes,1,1,yes,331.7526797558901,no,1,505.169872922693
male,47.24316065203632,1,Northeast,"$60,000+",yes,1,1,no,510.90180640240266,no,1,754.5507977961053
male,45.705831638682156,3,Northeast,"$60,000+",yes,0,1,no,0,yes,1,216.58075505275474
male,61.47437169971241,2,Northeast,"$60,000+",no,0,1,yes,361.131354860127,no,1,633.8044683861668
female,14.47101370174908,1,Northeast,"$60,000+",yes,1,1,no,450.1486740176748,no,1,693.0259920577529
female,44.872154096765904,0,Northeast,"< $60,000",yes,2,1,no,57.13869993542774,no,0,189.63856453043948
female,47.22898727880403,3,Northeast,"$60,000+",no,0,1,no,715.7306355675065,no,1,950.9774232855139
female,61.153699486915436,2,Northeast,"< $60,000",yes,0,1,no,119.36133713451079,no,0,239.10461258699863
male,72.44692577904561,2,Northeast,"< $60,000",no,0,1,no,462.13589514021197,no,1,661.8265013219018
male,30.357055851072722,0,Northeast,"$60,000+",no,0,1,no,0,yes,1,275.358231227085
male,56.53811111923304,1,Northeast,"$60,000+",yes,1,1,no,396.00087296718687,no,1,630.3352674164389
male,58.95653216783807,2,Northeast,"$60,000+",no,0,1,yes,0,yes,0,198.9109078187968
female,73.67448240582203,1,Northeast,"$60,000+",yes,0,1,no,232.91566152814227,no,0,488.61854536420975
male,48.22766166908637,4,Northeast,"< $60,000",yes,1,1,no,0,yes,1,127.41960651744634
male,72.939957606619,2,Northeast,"$60,000+",yes,2,1,no,747.9634243813475,no,1,992.1060602823926
female,51.736251465807754,3,Northeast,"< $60,000",yes,1,1,no,0,yes,1,100
female,44.09989931628175,1,Northeast,"$60,000+",yes,0,1,no,510.93333049151704,no,1,786.0221720975157
male,60.246658776464514,3,Northeast,"< $60,000",no,0,1,no,840.9883790271057,no,1,995.036172953031
male,55.666272690406835,3,Northeast,"$60,000+",no,0,1,no,490.73250918668793,no,1,739.6450908701655
male,57.69087432451642,3,Northeast,"$60,000+",no,0,1,no,0,yes,1,236.27665448274908
female,70.09608677960048,2,Northeast,"< $60,000",no,0,1,no,99.34930323188107,no,1,292.1293578089459
male,44.280684174527416,2,Northeast,"$60,000+",yes,0,1,no,0,yes,0,199.990554829617
female,45.2532021866781,1,Northeast,"$60,000+",yes,1,1,no,0,yes,1,166.5171616940564
male,45.92651265505731,2,Northeast,"< $60,000",yes,1,1,no,0,yes,0,126.67983753096965
male,71.44944011297866,2,Northeast,"$60,000+",yes,2,1,no,78.29320766624149,no,0,302.63518910929963
female,89.00555571308973,0,Northeast,"$60,000+",yes,1,1,no,0,yes,0,189.31052104150703
female,69.28908133687558,2,Northeast,"$60,000+",yes,0,1,no,0,yes,0,193.94606936533924
male,70.76809176848342,3,Northeast,"< $60,000",yes,1,1,yes,953.6181590343176,no,1,1086.4578460848875
male,85.37747247612204,2,Northeast,"$60,000+",yes,1,1,no,318.83999406504216,no,1,555.0793706199597
female,38.56699705989605,1,Northeast,"$60,000+",yes,0,1,yes,355.25325922354614,no,0,549.9005066389029
female,20.59434220433079,1,Northeast,"< $60,000",yes,0,1,no,0,yes,0,100
female,27.792671108629502,3,Northeast,"$60,000+",yes,2,1,yes,0,yes,1,218.5851240585826
female,55.08806778232441,4,Northeast,"< $60,000",no,0,1,no,0,yes,1,179.1566765008902
female,50.466893618783615,0,Northeast,"$60,000+",yes,1,1,no,120.44357740822355,no,0,323.4740077135405
female,-4.318505890116107,0,Northeast,"$60,000+",yes,1,1,no,0,yes,1,227.62263694908157
female,73.70578502853314,3,Northeast,"$60,000+",yes,1,1,no,0,yes,1,185.57127366872834
female,45.60489604984772,2,Northeast,"< $60,000",no,0,1,no,636.9400635862022,no,1,777.2678361416088
female,48.8665447864684,1,Northeast,"< $60,000",yes,1,1,no,223.82030466201786,no,1,429.4426496219063
male,58.131290188791695,3,Northeast,"$60,000+",yes,1,1,no,128.90075621511235,no,1,350.45873551907044
male,23.811401007198153,3,Northeast,"$60,000+",yes,0,1,no,1444.915127254957,no,1,1689.6797689766092
female,35.8661742624624,2,Northeast,"$60,000+",yes,2,1,no,0,yes,1,199.6959793534885
male,70.67783339875822,2,Northeast,"< $60,000",yes,0,1,no,133.07421735280238,no,1,272.1648860277337
male,89.45521934896522,1,Northeast,"$60,000+",no,1,1,yes,0,yes,0,220.29201898708448
female,63.75050146986641,1,Northeast,"$60,000+",yes,1,1,no,1.6838327637060218,no,1,202.22852392614118
male,64.76485099939094,2,Northeast,"< $60,000",no,0,1,no,0,yes,0,138.06378580624204
female,15.83459536358555,3,Northeast,"$60,000+",yes,1,1,no,583.6220235593054,no,1,875.935463803377
female,71.0523958146231,1,Northeast,"$60,000+",yes,1,1,no,235.94220107824927,no,0,483.06878029653546
female,72.46478217912428,2,Northeast,"$60,000+",no,0,1,no,131.36884748859578,no,1,407.4908997701878
male,42.90815988499148,3,Northeast,"$60,000+",yes,1,1,no,0,yes,1,159.7389371445945
male,53.76477706641693,1,Northeast,"$60,000+",no,0,1,no,0,yes,0,202.242400628409
female,68.47600054559186,3,Northeast,"$60,000+",no,0,1,no,0,yes,1,190.06950489842902
male,93.05401686178718,1,Northeast,"$60,000+",yes,0,1,no,0,yes,0,145.88446437589903
female,27.805213146599677,2,Northeast,"$60,000+",no,0,1,no,750.4511841537682,no,1,1039.5866674726194
male,70.59016444153052,4,Northeast,"$60,000+",yes,0,1,no,0,yes,1,193.955709175006
male,77.54309499496517,1,Northeast,"$60,000+",yes,0,1,no,229.74074773942533,no,1,416.8274358060082
male,68.2962210375197,1,Northeast,"$60,000+",no,0,1,no,1205.278518795081,no,1,1474.9205587367148
male,55.872468629069196,1,Northeast,"$60,000+",no,0,1,no,0,yes,0,163.78375007586328
female,46.965227511108075,3,Northeast,"< $60,000",yes,0,1,no,0,yes,0,100
male,53.29782879467348,3,Northeast,"$60,000+",yes,0,1,yes,310.17736069612124,no,1,563.4369996443181
female,67.37154861108552,2,Northeast,"$60,000+",no,0,1,no,618.0898195739344,no,1,900.6943622567279
female,28.439310132358816,3,Northeast,"< $60,000",no,0,1,no,0,yes,1,106.77245699339966
male,25.55336063507977,1,Northeast,"< $60,000",yes,0,1,no,758.2372162501704,no,1,886.7169406436632
male,35.77110607943949,0,Northeast,"$60,000+",yes,0,1,yes,657.6371304535762,no,1,921.2309335132679
male,21.519366673851557,1,Northeast,"$60,000+",yes,2,1,yes,882.8999801845639,no,1,1092.8892208447814
female,16.613111761292956,2,Northeast,"$60,000+",yes,1,1,no,327.16552355058093,no,1,570.3758228034997
male,77.58472264719137,1,Northeast,"$60,000+",no,0,1,no,54.65685575668867,no,0,286.10621499088694
female,31.606508332288865,3,Northeast,"$60,000+",yes,1,1,no,539.3264780808672,no,1,813.2249246848991
female,39.910199124038556,1,Northeast,"$60,000+",no,0,1,no,0,yes,0,201.5982202191344
female,27.305363745673187,1,Northeast,"$60,000+",yes,0,1,no,0,yes,1,191.62239674158283
male,60.25546109963612,1,Northeast,"< $60,000",yes,0,1,no,178.6086830283333,no,0,343.6662123547743
male,60.55977565393522,2,Northeast,"$60,000+",yes,0,1,no,639.5505436502601,no,1,848.9850763924547
female,73.7649464797355,3,Northeast,"$60,000+",no,0,1,no,102.99549252600728,no,1,433.2269779835168
female,40.75927284788767,0,Northeast,"$60,000+",yes,0,1,yes,0,yes,0,140.07733727209649
female,74.82138576155035,2,Northeast,"< $60,000",no,0,1,no,0,yes,1,114.43575149075225
female,52.74043103679519,2,Northeast,"< $60,000",yes,0,1,yes,643.2860776064041,no,1,798.2759737822422
female,24.00709522304186,4,Northeast,"< $60,000",yes,0,1,no,272.6403875212728,no,1,393.82848887511227
male,73.02817885030063,1,Northeast,"$60,000+",no,0,1,no,683.99082421736,no,1,962.0378775176923
male,80.26894955818379,3,Northeast,"$60,000+",no,0,1,no,0,yes,1,218.8435939593669
female,66.04275752100108,3,Northeast,"< $60,000",yes,2,1,no,0,yes,0,103.00659857221424
female,41.389261164675574,4,Northeast,"$60,000+",no,0,1,no,0.62488384783250694,no,1,284.901176519575
female,23.105981195714932,1,Northeast,"< $60,000",yes,0,1,no,935.3277584116265,no,1,1092.646302855785
male,50.74884140361001,3,Northeast,"$60,000+",yes,0,1,no,116.04135211893364,no,1,311.3818284481078
female,23.085564216406794,1,Northeast,"$60,000+",no,0,1,no,0,yes,0,231.2212408352
female,13.719913681124297,3,Northeast,"$60,000+",no,0,1,no,0,yes,0,256.18526667843884
female,64.08067063600329,3,Northeast,"$60,000+",yes,1,1,yes,605.4832692151572,no,1,874.9831235251327
female,44.019606723715704,2,Northeast,"$60,000+",yes,1,1,no,0,yes,0,163.10087158281917
female,42.02217407451212,2,Northeast,"< $60,000",yes,0,1,no,34.15848658298782,no,1,176.61135517159784
male,37.13365340174765,2,Northeast,"$60,000+",yes,1,1,yes,0,yes,1,223.06401182787073
male,76.31210109448114,1,Northeast,"$60,000+",yes,0,1,yes,0,yes,0,226.08164601479788
female,18.300642371865337,3,Northeast,"< $60,000",no,0,1,yes,154.5988566156886,no,1,323.4506239626839
male,41.11007150229019,2,Northeast,"$60,000+",no,0,1,no,528.5264395978602,no,1,816.5604020980207
female,61.32366155815411,2,Northeast,"$60,000+",yes,2,1,no,0,yes,0,178.9706509793691
male,55.80651348977992,2,Northeast,"$60,000+",yes,0,1,no,584.4779448688937,no,1,878.8779515746013
female,37.68911335362547,3,Northeast,"$60,000+",yes,0,1,no,0,yes,1,217.46164521042274
male,48.75984362489084,2,Northeast,"$60,000+",yes,0,1,no,407.20129918660626,no,1,604.5525861865378
female,46.14779490091999,1,Northeast,"$60,000+",yes,1,1,no,1134.4923219979462,no,1,1386.6825945834732
male,83.66307897150237,2,Northeast,"$60,000+",yes,2,1,no,33.27183660720763,no,1,243.54299264045113
male,52.05147692126891,3,Northeast,"$60,000+",yes,0,1,no,462.9352078485634,no,1,683.4277286857466
female,36.90329373170563,1,Northeast,"$60,000+",yes,0,1,no,823.1607750913279,no,1,1078.116691169178
male,73.73150399246694,2,Northeast,"$60,000+",yes,1,1,no,263.0916145412077,no,1,501.39214919652443
male,24.552606564102586,2,Northeast,"$60,000+",yes,1,1,yes,0,yes,1,213.85057747605669
female,60.76129160237392,1,Northeast,"$60,000+",yes,0,1,no,323.03594642073654,no,0,523.0412211569264
female,74.617007830447,2,Northeast,"$60,000+",no,0,1,no,0,yes,1,250.60035548101058
male,26.685860730749987,0,Northeast,"< $60,000",no,0,1,no,316.05198947839887,no,1,461.49287878783315
male,56.48418896759823,2,Northeast,"$60,000+",yes,1,1,no,0,yes,1,211.4022316142642
female,69.01734749972911,4,Northeast,"< $60,000",yes,0,1,no,0,yes,1,160.4716214865217
female,72.34867203744037,2,Northeast,"$60,000+",yes,1,1,no,0,yes,0,205.05879489468467
male,80.47938093149497,3,Northeast,"$60,000+",yes,0,1,yes,0,yes,0,192.51966360505452
female,88.36096819362811,3,Northeast,"< $60,000",yes,1,1,no,184.77740332331967,no,1,309.9573368213762
female,54.00354611464549,2,Northeast,"$60,000+",yes,0,1,no,0,yes,1,230.22186841729132
female,33.05619010477233,1,Northeast,"$60,000+",yes,1,1,no,1050.289588058146,no,1,1279.507752155524
male,34.86264920376682,3,Northeast,"$60,000+",yes,1,1,no,0,yes,1,177.4793518298838
female,63.90209232736926,1,Northeast,"$60,000+",yes,1,1,yes,1133.6805741485819,no,1,1428.9007893039693
female,18.541642510300683,2,Northeast,"$60,000+",yes,1,1,no,337.0797621264611,no,1,561.0266640628871
female,60.00467599776181,2,Northeast,"$60,000+",yes,1,1,no,263.2297649156723,no,0,542.8452530931243
male,26.901626809608263,1,Northeast,"$60,000+",no,0,1,no,453.83549043769784,no,1,731.3485890814158
male,31.495975433333157,2,Northeast,"$60,000+",yes,1,1,no,625.1111744996069,no,1,876.4619306585182
male,56.83809117426221,0,Northeast,"$60,000+",yes,1,1,no,288.37560790678424,no,0,533.5534232902874
male,38.207440749365446,1,Northeast,"< $60,000",yes,1,1,no,0,yes,1,149.0130033271017
female,33.431232371777796,2,Northeast,"$60,000+",no,0,1,no,865.4005466562228,no,1,1180.4632357334167
female,36.72539580459514,1,Northeast,"$60,000+",no,0,1,yes,0,yes,1,200.61666827798624
female,78.32881705237182,2,Northeast,"$60,000+",yes,2,1,yes,0,yes,0,172.22431668402942
male,22.569953146730974,1,Northeast,"$60,000+",yes,0,1,no,601.1150560246106,no,1,808.2036787262624
male,52.17721446213262,1,Northeast,"$60,000+",yes,0,1,no,0,yes,0,147.96922490733053
male,40.66355495470068,2,Northeast,"$60,000+",yes,1,1,no,730.1728369387979,no,1,1002.7655537183084
female,109.23486726594369,2,Northeast,"$60,000+",yes,0,1,no,315.84023575297675,no,0,516.4333188918113
male,46.84345639727452,3,Northeast,"$60,000+",no,0,1,no,0,yes,1,210.3400390960565
male,86.38850546724163,2,Northeast,"$60,000+",yes,0,1,no,365.15716256524615,no,1,632.6793655056813
male,67.27485102101333,3,Northeast,"< $60,000",yes,0,1,no,160.12438078172698,no,1,327.4316226936886
female,18.671135602362288,3,Northeast,"$60,000+",yes,0,1,yes,655.2941717235292,no,1,908.6877575426186
male,60.30911937642955,3,Northeast,"$60,000+",no,0,1,no,66.48333607205144,no,0,288.3052073567218
female,63.92439024248202,3,Northeast,"$60,000+",yes,0,1,no,0,yes,1,219.5920167695275
female,50.508422011080654,4,Northeast,"$60,000+",yes,0,1,no,417.84415169746484,no,1,614.9499123055734
female,10.964333975324294,1,Northeast,"< $60,000",no,0,1,no,0,yes,0,100
male,94.90717472985241,3,Northeast,"< $60,000",yes,0,1,yes,777.0517639017754,no,1,917.2732735051004
male,46.24525649083784,1,Northeast,"$60,000+",yes,0,1,yes,0,yes,0,236.90449706515636
male,21.97497620589635,0,Northeast,"< $60,000",yes,0,1,no,0,yes,0,104.89809622481786
female,74.9671701149264,2,Northeast,"$60,000+",yes,0,1,no,0,yes,0,180.99633328527165
female,45.05843539185247,2,Northeast,"$60,000+",yes,0,1,no,98.0508878347373,no,0,292.47431978685745
male,54.91119031204896,3,Northeast,"$60,000+",no,0,1,no,819.3731656229888,no,1,1085.3075389974647
male,34.42552885113134,2,Northeast,"$60,000+",no,0,1,no,1034.2262396361443,no,1,1305.2788786217982
male,14.182276383747244,0,Northeast,"$60,000+",no,0,1,no,1280.8148201828242,no,1,1533.472291347183
male,46.64952288102989,2,Northeast,"< $60,000",yes,0,1,no,723.829282716181,no,1,852.412580480166
male,65.01959873682004,1,Northeast,"$60,000+",no,0,1,no,175.1363208088223,no,1,449.45426115938096
male,49.659531932519236,2,Northeast,"$60,000+",yes,0,1,no,14.348735471658728,no,0,209.8444799157815
female,50.55157948057208,1,Northeast,"$60,000+",yes,2,1,yes,0,yes,0,197.71095064652275
female,54.4429229419405,4,Northeast,"$60,000+",yes,0,1,no,563.1973405539779,no,1,842.0511152486545
female,57.97263649497239,2,Northeast,"$60,000+",no,0,1,no,250.27363935216567,no,1,498.1072480268203
male,44.76963174503042,3,Northeast,"< $60,000",yes,0,1,no,422.4539563680666,no,1,621.0982258484042
female,43.93644751855647,4,Northeast,"$60,000+",yes,1,1,no,0,yes,1,194.88506002612138
male,35.32856430407857,3,Northeast,"< $60,000",yes,0,1,no,303.42330815879006,no,1,493.95188011433004
male,22.362905726034597,2,Northeast,"$60,000+",yes,0,1,yes,57.95877317345756,no,1,319.6972704166108
male,21.166252534680137,1,Northeast,"$60,000+",yes,1,1,no,257.4983331036909,no,1,566.46740501965
male,34.273796715268446,2,Northeast,"$60,000+",yes,3,1,no,247.09156259622247,no,1,462.1478252008312
male,35.15035520829636,0,Northeast,"$60,000+",yes,0,1,no,128.64614782711027,no,1,348.8933096164164
female,42.18039506058796,0,Northeast,"< $60,000",yes,1,1,no,187.32833548383417,no,1,310.6422630460621
female,25.68489874833699,3,Northeast,"$60,000+",yes,0,1,no,0,yes,0,178.9890113509676
male,32.19188817423593,1,Northeast,"$60,000+",no,0,1,no,0,yes,1,249.80889086596054
male,79.96545262202561,0,Northeast,"< $60,000",yes,2,1,no,950.7894983619989,no,1,1091.6475267323187
female,57.43678221896016,3,Northeast,"$60,000+",no,0,1,no,221.42432392553806,no,1,484.40957004990656
female,55.22212166872403,0,Northeast,"$60,000+",yes,0,1,no,0,yes,0,209.04438386710714
male,49.50912286424761,1,Northeast,"$60,000+",no,0,1,no,151.7760976630689,no,1,440.93327745233563
male,31.64621512875362,3,Northeast,"$60,000+",yes,1,1,no,491.96117778481204,no,1,699.2048698585279
female,38.16231564533082,2,Northeast,"$60,000+",no,0,1,no,368.9768711948494,no,0,629.6402299274538
female,42.580138887360356,3,Northeast,"$60,000+",yes,0,1,no,523.4911716104186,no,1,757.8753441683201
male,51.758485143432964,2,Northeast,"$60,000+",yes,1,1,no,0,yes,1,228.88200040311892
male,49.30547310550917,1,Northeast,"$60,000+",yes,0,1,no,191.05475125861847,no,0,377.2843286886097
male,86.12748538027027,2,Northeast,"$60,000+",yes,0,1,no,0,yes,0,209.20223051818525
male,43.19527869517634,1,Northeast,"$60,000+",no,0,1,yes,461.78607710877225,no,1,807.6533525464464
